sku,trade_id,trade_name,category,tier_id,tier_name,duration_id,duration_name,hours,billable_hourly_usd,multiplier,total_usd,stripe_product_name,stripe_product_description,stripe_price_currency,stripe_price_amount_cents,client_reference_id_template
linemen_master_full,linemen,Linemen,electrical,master,Master / Foreman,full,Full Day,8,135,1.0,1080,Master / Foreman Linemen — Full Day (8h),"Master / Foreman-tier linemen for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,108000,linemen_master_full_1080
linemen_master_weekly,linemen,Linemen,electrical,master,Master / Foreman,weekly,Weekly,40,135,0.92,4968,Master / Foreman Linemen — Weekly (40h),"Master / Foreman-tier linemen for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,496800,linemen_master_weekly_4968
masons_apprentice_half,masons,Masons,structural,apprentice,Apprentice,half,Half Day,4,52,1.0,208,Apprentice Masons — Half Day (4h),"Apprentice-tier masons for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,20800,masons_apprentice_half_208
masons_apprentice_full,masons,Masons,structural,apprentice,Apprentice,full,Full Day,8,52,1.0,416,Apprentice Masons — Full Day (8h),"Apprentice-tier masons for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,41600,masons_apprentice_full_416
masons_apprentice_weekly,masons,Masons,structural,apprentice,Apprentice,weekly,Weekly,40,52,0.92,1914,Apprentice Masons — Weekly (40h),"Apprentice-tier masons for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,191400,masons_apprentice_weekly_1914
masons_journeyman_half,masons,Masons,structural,journeyman,Journeyman,half,Half Day,4,76,1.0,304,Journeyman Masons — Half Day (4h),"Journeyman-tier masons for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,30400,masons_journeyman_half_304
masons_journeyman_full,masons,Masons,structural,journeyman,Journeyman,full,Full Day,8,76,1.0,608,Journeyman Masons — Full Day (8h),"Journeyman-tier masons for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,60800,masons_journeyman_full_608
masons_journeyman_weekly,masons,Masons,structural,journeyman,Journeyman,weekly,Weekly,40,76,0.92,2797,Journeyman Masons — Weekly (40h),"Journeyman-tier masons for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,279700,masons_journeyman_weekly_2797
masons_master_half,masons,Masons,structural,master,Master / Foreman,half,Half Day,4,102,1.0,408,Master / Foreman Masons — Half Day (4h),"Master / Foreman-tier masons for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,40800,masons_master_half_408
masons_master_full,masons,Masons,structural,master,Master / Foreman,full,Full Day,8,102,1.0,816,Master / Foreman Masons — Full Day (8h),"Master / Foreman-tier masons for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,81600,masons_master_full_816
masons_master_weekly,masons,Masons,structural,master,Master / Foreman,weekly,Weekly,40,102,0.92,3754,Master / Foreman Masons — Weekly (40h),"Master / Foreman-tier masons for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,375400,masons_master_weekly_3754
millwrights_apprentice_half,millwrights,Millwrights,heavy,apprentice,Apprentice,half,Half Day,4,58,1.0,232,Apprentice Millwrights — Half Day (4h),"Apprentice-tier millwrights for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,23200,millwrights_apprentice_half_232
millwrights_apprentice_full,millwrights,Millwrights,heavy,apprentice,Apprentice,full,Full Day,8,58,1.0,464,Apprentice Millwrights — Full Day (8h),"Apprentice-tier millwrights for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,46400,millwrights_apprentice_full_464
millwrights_apprentice_weekly,millwrights,Millwrights,heavy,apprentice,Apprentice,weekly,Weekly,40,58,0.92,2134,Apprentice Millwrights — Weekly (40h),"Apprentice-tier millwrights for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,213400,millwrights_apprentice_weekly_2134
millwrights_journeyman_half,millwrights,Millwrights,heavy,journeyman,Journeyman,half,Half Day,4,86,1.0,344,Journeyman Millwrights — Half Day (4h),"Journeyman-tier millwrights for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,34400,millwrights_journeyman_half_344
millwrights_journeyman_full,millwrights,Millwrights,heavy,journeyman,Journeyman,full,Full Day,8,86,1.0,688,Journeyman Millwrights — Full Day (8h),"Journeyman-tier millwrights for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,68800,millwrights_journeyman_full_688
millwrights_journeyman_weekly,millwrights,Millwrights,heavy,journeyman,Journeyman,weekly,Weekly,40,86,0.92,3165,Journeyman Millwrights — Weekly (40h),"Journeyman-tier millwrights for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,316500,millwrights_journeyman_weekly_3165
millwrights_master_half,millwrights,Millwrights,heavy,master,Master / Foreman,half,Half Day,4,115,1.0,460,Master / Foreman Millwrights — Half Day (4h),"Master / Foreman-tier millwrights for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,46000,millwrights_master_half_460
millwrights_master_full,millwrights,Millwrights,heavy,master,Master / Foreman,full,Full Day,8,115,1.0,920,Master / Foreman Millwrights — Full Day (8h),"Master / Foreman-tier millwrights for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,92000,millwrights_master_full_920
millwrights_master_weekly,millwrights,Millwrights,heavy,master,Master / Foreman,weekly,Weekly,40,115,0.92,4232,Master / Foreman Millwrights — Weekly (40h),"Master / Foreman-tier millwrights for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,423200,millwrights_master_weekly_4232
plumbers_apprentice_half,plumbers,Plumbers,mechanical,apprentice,Apprentice,half,Half Day,4,55,1.0,220,Apprentice Plumbers — Half Day (4h),"Apprentice-tier plumbers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,22000,plumbers_apprentice_half_220
plumbers_apprentice_full,plumbers,Plumbers,mechanical,apprentice,Apprentice,full,Full Day,8,55,1.0,440,Apprentice Plumbers — Full Day (8h),"Apprentice-tier plumbers for 8 hours (full day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,44000,plumbers_apprentice_full_440
plumbers_apprentice_weekly,plumbers,Plumbers,mechanical,apprentice,Apprentice,weekly,Weekly,40,55,0.92,2024,Apprentice Plumbers — Weekly (40h),"Apprentice-tier plumbers for 40 hours (weekly). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,202400,plumbers_apprentice_weekly_2024
plumbers_journeyman_half,plumbers,Plumbers,mechanical,journeyman,Journeyman,half,Half Day,4,82,1.0,328,Journeyman Plumbers — Half Day (4h),"Journeyman-tier plumbers for 4 hours (half day). Includes WC, payroll, GL, and dispatch. Tradesperson deploys to the shipping address provided at checkout.",usd,32800,plumbers_journeyman_half_328
